scenario,timeSeconds,positionErrorM,yawErrorDeg
fusion,49.2,0.28394689816095,-0.136324708125091
fusion,49.3,0.285523602087795,-0.194592595292082
fusion,49.4,0.302549479112531,-0.234197772143454
fusion,49.5,0.293325162986326,-0.199318715172898
fusion,49.6,0.337027063935718,-0.126610936532681
fusion,49.7,0.248745193619333,-0.120832344534565
fusion,49.8,0.163393424697704,-0.13549333219355
fusion,49.9,0.164429475870022,-0.0930985867021313
fusion,50,0.140578067641859,-0.102625363791315
fusion,50.1,0.153060542125273,-0.0354065250822253
fusion,50.2,0.156072172967721,-0.0100368324068216
fusion,50.3,0.165888391435253,-0.122983973421438
fusion,50.4,0.179400429310246,-0.110683574290924
fusion,50.5,0.243756978079801,-0.0602841937700393
fusion,50.6,0.243603183802019,0.177566191540034
fusion,50.7,0.261549512741212,0.296294125059801
fusion,50.8,0.144085738600989,0.313470033100045
fusion,50.9,0.186905673602997,0.305669368842367
fusion,51,0.185757674743683,0.276837819224115
fusion,51.1,0.227694277672758,0.291123061232593
fusion,51.2,0.19791725924956,0.299129228951845
fusion,51.3,0.291471836772868,0.19478812705876
fusion,51.4,0.276369215448347,0.148052476842152
fusion,51.5,0.345664373611428,0.130258001684899
fusion,51.6,0.348450849455857,0.159114154081512
fusion,51.7,0.315167838741169,0.161406835906972
fusion,51.8,0.131427535951327,0.0877600026640756
fusion,51.9,0.158274663705752,0.0663882243389877
fusion,52,0.203523935046125,0.0191141620240779
fusion,52.1,0.228066267634586,0.0837936071158606
fusion,52.2,0.210706445786974,0.0781055193444746
fusion,52.3,0.278743262634616,0.210162514723773
fusion,52.4,0.328605512050326,0.246161909092215
fusion,52.5,0.277198579582941,0.222233630890449
fusion,52.6,0.253747130432575,0.241385993091792
fusion,52.7,0.238041880379001,0.231267781334333
fusion,52.8,0.090273957097731,0.207525017471649
fusion,52.9,0.169532913985411,0.0754843352740759
fusion,53,0.0772377024790275,0.184371597257581
fusion,53.1,0.271288776248231,0.378957518227964
fusion,53.2,0.289253279833264,0.401732994491186
fusion,53.3,0.328198682332452,0.432121912973401
fusion,53.4,0.326119853119395,0.49447748485541
fusion,53.5,0.267940516173694,0.460451503252029
fusion,53.6,0.316996979440126,0.581423218723774
fusion,53.7,0.291467324571792,0.448104598723981
fusion,53.8,0.0929404282825677,0.356945343658778
fusion,53.9,0.0259102720859573,0.309053881512996
fusion,54,0.0944016321597198,0.424702218712068
